student_id,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date
1,86,67,78,2021
2,85,71,80,2019
3,77,77,84,2021
4,76,75,75,2021
5,91,62,90,2019
6,95,62,79,2020
7,82,76,79,2020
8,82,62,87,2021
9,90,60,100,2019
10,85,72,89,2019
11,78,80,84,2019
12,83,76,83,2019
13,89,61,76,2019
14,80,73,87,2021
15,84,80,79,2019
16,85,66,78,2019
17,75,68,75,2021
18,81,76,95,2019
19,80,73,75,2020
20,92,62,97,2020
21,82,60,93,2021
22,90,66,83,2019
23,88,62,84,2018
24,75,80,89,2021
25,83,64,80,2020
26,95,60,95,2020
27,83,70,81,2019
28,77,67,78,2021
29,83,60,84,2021
30,82,61,95,2019
